year,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding_income,reportedCurrency_income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_cashflow,Current Ratio,Quick Ratio,Debt Equity Ratio,ROE,ROA,Dividend Yield,EBITDA,Adjusted Close,EPS,Revenue per Share,Book Value per Share,P/E Ratio,P/S Ratio,P/B Ratio,Company
2017,12/31/2017,USD,3421566000,2366794000,334063000,2043039000,0,279473000,1077472000,166762000,37763000,806355000,166473000,639882000,22700000,22700000,1708976000,44282000,81655000,429239000,346256000,71194000,,,16033000,109283000,16033000,16033000,16033000,,16033000,275062000,82983000,2992327000,,-4656667000,12000,1222202000,12/31/2017,USD,107487000,824949000,717462000,96300000,-3485576000,2058200000,1534863000,3624563000,21096000,-3456000,21096000,3456000,1000000,4528000,,31500000,-3463408000,-18342000,3456000,-3445066000,-3428852000,-3459952000,-3428452000,-3445066000,12/31/2017,USD,-734667000,6226000,,159976000,148911000,61288000,92625000,104357000,,-3445066000,-1357010000,2265348000,,,0,,,0,,,,0,2669176000,,183942000,,-3445066000,6.83538769,6.83538769,0.143446555,-1.151299975,-1.0068682,0,-3454076000,14.61,-2.420885978,0.579700786,2.102741276,-6.034980636,25.20265689,6.948073055,Snapchat
2018,12/31/2018,USD,2714106000,1675928000,387149000,1279063000,0,354965000,1081778000,212560000,66996000,758424000,126054000,632370000,935514000,43600000,891914000,41900000,67194000,403107000,292691000,30876000,10957000,,,127216000,,,,,16800000,261815000,110416000,2310999000,,-5912578000,16000,1317761000,12/31/2018,USD,375487000,1174352000,798865000,120300000,-1268450000,877846000,772185000,1726186000,27228000,-3894000,27228000,3894000,1178246000,-8248000,,42600000,-1253364000,2547000,3894000,-1255911000,-1266921000,-1249470000,-1206870000,-1255911000,12/31/2018,USD,-689924000,1498000,,-41492000,54127000,91648000,122807000,77506000,,-1255911000,694454000,47437000,,,0,,,0,,,,0,47988000,,51967000,,-1255911000,5.725929393,5.725929393,0.17442976,-0.543449391,-0.462734691,0,-1225850000,5.51,-0.882542549,0.825230138,1.623964555,-6.243325045,6.676925317,3.392931196,Snapchat
2019,12/31/2019,USD,4011924000,2643986000,520317000,2112805000,2,492194000,1422938000,173667000,112560000,853274000,92121000,761153000,1647488000,55000000,1592488000,38987000,65550000,1752011000,499675000,46886000,20082000,42179000,42179000,1252336000,345357000,891776000,,891776000,891776000,390528000,57382000,2259913000,,-6945930000,14000,1415796000,12/31/2019,USD,839301000,1735139000,895838000,174700000,-1103328000,1039515000,883509000,1916541000,36042000,-24994000,36042000,24994000,1755417000,59013000,,33400000,-1033267000,393000,24994000,-1033660000,-1036234000,-1008273000,-974873000,-1033660000,12/31/2019,USD,-304958000,66300000,,165783000,156542000,87245000,36478000,147862000,,-1033660000,-728608000,1165852000,,,,,,0,,,,,16527000,,132286000,,-1033660000,5.291411417,5.291411413,0.77525595,-0.457389289,-0.257646954,0,-1069928000,16.33,-0.726364314,1.219301365,1.588065858,-22.48183136,13.39291538,10.28294886,Snapchat
2020,12/31/2020,USD,5024238000,3337975000,545618000,2537540000,1,744288000,1855763000,178709000,134452000,1045188000,105929000,939259000,2161422000,169500000,1991922000,56147000,192638000,2694262000,667327000,71908000,27814000,,41077000,2026935000,328369000,1675169000,,1675169000,1675169000,237095000,64474000,2329976000,,-7891542000,14000,1503333000,12/31/2020,USD,1229708000,2412213000,1182505000,324300000,-862072000,1084632000,1101561000,2219693000,18127000,-97228000,18127000,97228000,2506626000,14988000,,33500000,-926185000,18654000,97228000,-944839000,-924049000,-828957000,-795457000,-944839000,12/31/2020,USD,-167644000,85319000,,138792000,281847000,86744000,57832000,255818000,,-944839000,-729864000,922791000,,0,0,,,0,,,,,34209000,,25283000,,-944839000,5.002008011,5.00200801,1.156347533,-0.405514477,-0.188056179,0,-828572000,50.07,-0.663948815,1.695088752,1.637299903,-75.41243979,29.53827635,30.58083611,Snapchat
2021,12/31/2021,USD,7536306000,4854002000,1993809000,3886085000,0,1068873000,2682304000,202644000,175260000,1866106000,277654000,1588452000,3199076000,,1892276000,92244000,291302000,3746138000,851786000,125282000,44473000,,52396000,2894352000,377905000,2253087000,,2253087000,2253087000,629635000,315756000,3790168000,0,-8284466000,16000,1619283000,12/31/2021,USD,2351604000,4101850000,1750246000,679000000,-702069000,1503404000,1565467000,3132071000,5199000,-17676000,5199000,17676000,4117048000,240175000,,63200000,-474371000,13584000,59214000,-487955000,-503797000,-456695000,-393495000,-487955000,12/31/2021,USD,292880000,84787000,,176645000,370490000,119141000,69875000,332967000,,-487955000,90227000,1065073000,,0,0,,,0,,,,,14671000,,1448180000,,-487955000,5.698616789,5.698616789,0.988383101,-0.128742314,-0.064747238,0,-638869000,47.03,-0.342891375,2.882415358,2.66339297,-137.1571391,16.31617729,17.65792751,Snapchat
2022,12/31/2022,USD,8029538000,5256647000,1423121000,4030624000,1,1183092000,2772891000,271777000,218593000,1850600000,204480000,1646120000,5016003000,,2607503000,134431000,279562000,5448840000,1215599000,181774000,50782000,,46485000,4233241000,432756000,3742520000,,3742520000,3742520000,936558000,104450000,2580698000,500514000,-10214657000,15000,1625398000,12/31/2022,USD,2812067000,4627409000,1815342000,681900000,-1395306000,2072011000,2109800000,4503060000,58597000,-21459000,58597000,21459000,4601847000,-42529000,,132300000,-1400697000,28956000,21459000,-1429653000,-1449148000,-1379238000,-1246938000,-1429653000,12/31/2022,USD,184614000,103773000,,123654000,161201000,202173000,129306000,119780000,,-1429653000,-1062275000,306714000,,1001052000,1001052000,,,0,,,,,-996780000,,,,-1429653000,4.324326525,4.324326525,2.111382269,-0.553979195,-0.178049223,0,-1263006000,8.95,-1.004632974,3.25173148,1.813485025,-8.908726103,2.752379787,4.935248913,Snapchat
2023,12/31/2023,USD,7967758000,4975843000,1780400000,3557680000,1,1278176000,2991915000,410326000,264384000,1838130000,146303000,1691827000,3563680000,,1777280000,153587000,226597000,5553646000,1134118000,278961000,93706000,,49321000,4419528000,595600000,3749400000,0,3749400000,3749400000,712130000,123849000,2414112000,479903000,-11726536000,16000,1694696000,12/31/2023,USD,2481020000,4595137000,2114117000,675000000,-1398379000,1979515000,1910862000,4012277000,168394000,-22024000,168394000,22024000,4617161000,-42414000,,81100000,-1294423000,28062000,22024000,-1322485000,-1301380000,-1272399000,-1191299000,-1322485000,12/31/2023,USD,246521000,107944000,,166273000,105809000,168441000,211727000,98127000,,-1322485000,570954000,-458789000,,189394000,189394000,,,0,,,,,-188356000,,,,-1322485000,4.387412068,4.387412067,2.300492272,-0.547814269,-0.165979564,0,-1317279000,16.93,-0.929324835,3.229053589,1.696423201,-18.2175267,5.243022308,9.979821069,Snapchat
2009,9/30/2009,USD,47501000000,31555000000,5263000000,23464000000,455000000,3361000000,23520000000,1780000000,1713000000,453000000,247000000,206000000,,10528000000,18201000000,1444000000,2011000000,15861000000,11506000000,5601000000,,,1948000000,4355000000,,,,,,3376000000,3502000000,31640000000,,23353000000,8210000000,899805500,9/30/2009,USD,17222000000,42905000000,29832000000,25683000000,11740000000,4149000000,1333000000,5482000000,,,,326000000,,326000000,,606000000,12066000000,3831000000,,8235000000,8321000000,11740000000,12346000000,8235000000,9/30/2009,USD,10159000000,,,452000000,1787000000,703000000,1144000000,939000000,-54000000,8235000000,-17434000000,663000000,,,,,,0,,475000000,,,475000000,,-6612000000,,8235000000,2.742482183,2.702937598,0.501295828,0.260271808,0.173364771,0,12346000000,6.3551,0.544794189,2.838420725,2.09317403,11.66513911,2.238956312,3.036106845,Apple
2010,9/30/2010,USD,75183000000,41678000000,11261000000,25620000000,1051000000,5510000000,57101000000,2174000000,2466000000,1083000000,342000000,741000000,39750000000,25391000000,14359000000,3447000000,2263000000,27392000000,20722000000,12015000000,4123000000,,2466000000,10970000000,,,,,,5723000000,5531000000,47791000000,,37169000000,10668000000,915970050,9/30/2010,USD,25684000000,65225000000,45873000000,39541000000,18385000000,5517000000,1782000000,7299000000,,,,155000000,,155000000,,815000000,18540000000,4527000000,,14013000000,13890000000,18385000000,19200000000,14013000000,9/30/2010,USD,18595000000,,,8302000000,5576000000,69000000,2005000000,4860000000,596000000,14013000000,-13854000000,1257000000,,,,,,0,,912000000,,,912000000,,5998000000,,14013000000,2.011292346,1.960573304,0.573162311,0.293214204,0.18638522,0,19200000000,9.7275,0.927043226,4.315021368,3.161658662,10.49303821,2.254334143,3.076707842,Apple
2011,9/30/2011,USD,1.16371E+11,44988000000,9815000000,25952000000,776000000,5369000000,1.23607E+11,7777000000,3991000000,4432000000,3536000000,896000000,71755000000,55618000000,16137000000,4529000000,3556000000,39756000000,27970000000,14632000000,5777000000,,5606000000,21886000000,,,,,,9247000000,10100000000,76615000000,,62841000000,13331000000,929277000,9/30/2011,USD,43818000000,1.08249E+11,73630000000,64431000000,33790000000,7599000000,2429000000,10028000000,519000000,0,,0,,-104000000,,1600000000,34205000000,8283000000,0,25922000000,26411000000,34205000000,35805000000,25922000000,9/30/2011,USD,37529000000,,,8664000000,2907000000,192000000,4260000000,1791000000,-275000000,25922000000,-40419000000,1444000000,,0,0,,,0,,831000000,0,,831000000,,-1446000000,,25922000000,1.608437612,1.5806936,0.518906219,0.338341056,0.222753091,0,35390000000,12.2136,1.714894349,7.161314651,5.068537557,7.122071402,1.705496909,2.409689159,Apple
2012,9/30/2012,USD,1.76064E+11,57653000000,10746000000,29129000000,791000000,10930000000,2.13533E+11,15452000000,6435000000,5359000000,4224000000,1135000000,1.10505E+11,92122000000,18383000000,6458000000,5478000000,57854000000,38542000000,21175000000,8601000000,,6310000000,35976000000,,0,,,,11414000000,16664000000,1.1821E+11,,1.01289E+11,16422000000,939208000,9/30/2012,USD,68662000000,1.56508E+11,1.00486E+11,87846000000,55241000000,10040000000,3381000000,13421000000,1088000000,0,,0,,-566000000,,2600000000,55763000000,14030000000,0,41733000000,41789000000,55763000000,58363000000,41733000000,9/30/2012,USD,50856000000,0,,9843000000,10142000000,605000000,8295000000,6965000000,15000000,41733000000,-48227000000,-1698000000,0,0,0,,2488000000,2488000000,,665000000,0,,665000000,,931000000,,41733000000,1.495848685,1.475325619,0.489417139,0.353041198,0.237033124,0.15150408,57841000000,16.1938,2.76088596,10.35393429,7.820293997,5.865436035,1.564023833,2.070740564,Apple
2013,9/30/2013,USD,2.07E+11,73286000000,14259000000,40546000000,1764000000,13102000000,2.39929E+11,16597000000,11922000000,5756000000,4179000000,1577000000,1.46761E+11,1.06215E+11,26287000000,6882000000,5146000000,83451000000,43658000000,22367000000,10060000000,,0,39322000000,,16960000000,,15900000000,16960000000,13856000000,20208000000,1.23549E+11,,1.04256E+11,19764000000,899213000,9/30/2013,USD,64304000000,1.70774E+11,1.23236E+11,1.06606E+11,48999000000,10830000000,4475000000,15305000000,1616000000,-136000000,,136000000,,-324000000,,5800000000,50155000000,13118000000,136000000,37037000000,36067000000,50291000000,56091000000,37037000000,9/30/2013,USD,53666000000,0,,8320000000,1842000000,960000000,8165000000,1949000000,973000000,37037000000,-33774000000,-16379000000,0,22860000000,22860000000,,10528000000,10564000000,,530000000,16896000000,,-22330000000,,3513000000,,37037000000,1.678638508,1.638233543,0.675448607,0.299775797,0.178922705,0.534507185,54799000000,17.4991,2.450217653,11.29771497,8.173500576,7.141855328,1.548906132,2.140955376,Apple
2014,9/30/2014,USD,2.31839E+11,68531000000,13844000000,25077000000,2111000000,27219000000,2.9347E+11,20624000000,18391000000,8758000000,4142000000,4616000000,1.55239E+11,1.30162E+11,11233000000,9806000000,3764000000,1.20292E+11,63448000000,30196000000,11522000000,6308000000,6308000000,52683000000,,28987000000,0,28987000000,35295000000,18453000000,24826000000,1.11547E+11,,87152000000,23313000000,5866161000,9/30/2014,USD,70537000000,1.82411E+11,1.31151E+11,1.12258E+11,52503000000,11993000000,6041000000,18034000000,1795000000,-384000000,,384000000,,-431000000,,6900000000,53483000000,13973000000,384000000,39510000000,41063000000,53867000000,60767000000,39510000000,9/30/2014,USD,1.09133E+11,339000000,,13408000000,6361000000,1100000000,9571000000,6452000000,76000000,39510000000,-22579000000,-37549000000,6306000000,45000000000,45000000000,,11031000000,11126000000,,730000000,11960000000,,-44270000000,,-415000000,,39510000000,1.080112848,1.046841508,1.078397447,0.354200472,0.17041999,0.477244456,59403000000,24.6068,2.6138213,12.06757168,7.37949695,9.414109528,2.039084635,3.334482034,Apple
2015,9/30/2015,USD,2.90345E+11,89378000000,21120000000,41601000000,2349000000,30343000000,3.65166E+11,22471000000,26786000000,9009000000,3893000000,5116000000,2.05666E+11,1.64065E+11,20481000000,15085000000,5422000000,1.7099E+11,80610000000,35490000000,12564000000,10999000000,8499000000,1.23941E+11,,57400000000,2500000000,53329000000,1.19787E+11,25181000000,33427000000,1.19355E+11,,92284000000,27416000000,5578753000,9/30/2015,USD,93626000000,2.32982E+11,1.63618E+11,1.40089E+11,71230000000,14329000000,8067000000,22396000000,2921000000,-733000000,,733000000,,-903000000,,9200000000,72515000000,19121000000,733000000,53394000000,51967000000,73248000000,82448000000,53394000000,9/30/2015,USD,81266000000,514000000,,15188000000,-194000000,9200000000,11488000000,-611000000,238000000,53394000000,-56274000000,-17716000000,4382000000,35253000000,35253000000,,11561000000,11561000000,,543000000,27114000000,,-34710000000,,7276000000,,53394000000,1.108770624,1.079630319,1.432616983,0.447354531,0.183898466,0.421688065,80430000000,23.8642,3.532330409,15.41314386,7.896042552,6.755936516,1.548301905,3.022298809,Apple
2016,9/30/2016,USD,3.21686E+11,1.06869E+11,20484000000,67155000000,2132000000,29299000000,3.85247E+11,27010000000,34235000000,8620000000,3206000000,5414000000,2.37585E+11,1.7043E+11,46671000000,8283000000,8757000000,1.93437E+11,79006000000,37294000000,11010000000,11600000000,8100000000,1.50505E+11,,85200000000,3500000000,75427000000,1.64694E+11,22027000000,36074000000,1.28249E+11,,96364000000,31251000000,5336166000,9/30/2016,USD,84263000000,2.15639E+11,1.31376E+11,1.31376E+11,60024000000,14194000000,10045000000,24239000000,3999000000,-1456000000,3999000000,1456000000,,-1195000000,8300000000,8300000000,61372000000,15685000000,1456000000,45687000000,46666000000,62828000000,71128000000,45687000000,9/30/2016,USD,66231000000,1316000000,,-1867000000,-2351000000,10505000000,13548000000,-1044000000,-217000000,45687000000,-45977000000,-20890000000,-794000000,29722000000,29722000000,,12150000000,11965000000,,495000000,24954000000,,-29227000000,,-636000000,,45687000000,1.352669418,1.325684125,1.508292462,0.356236696,0.142023588,0.382867748,68324000000,26.8426,3.022466558,14.26580135,8.484433507,8.881024648,1.88160478,3.163746876,Apple
2017,9/30/2017,USD,3.75319E+11,1.28645E+11,20289000000,74181000000,4855000000,35673000000,2.46674E+11,33783000000,41293000000,8015000000,2298000000,5717000000,2.68895E+11,1.94714E+11,53892000000,13936000000,18177000000,2.41272E+11,1.00814E+11,44242000000,10384000000,18473000000,11977000000,1.40458E+11,,1.12596E+11,6496000000,97207000000,2.19794E+11,30551000000,40415000000,1.34047E+11,,98330000000,35867000000,5126201000,9/30/2017,USD,88186000000,2.29234E+11,1.41048E+11,1.41048E+11,61344000000,15261000000,11581000000,26842000000,5201000000,-2323000000,5201000000,2323000000,2.29234E+11,-133000000,8200000000,1200000000,64089000000,15738000000,2323000000,48351000000,47567000000,66412000000,67612000000,48351000000,9/30/2017,USD,64225000000,2092000000,,8838000000,14388000000,10157000000,12795000000,6347000000,2723000000,48351000000,-46446000000,-17974000000,7704000000,32900000000,32900000000,,12769000000,12563000000,,555000000,28662000000,,-32345000000,,-195000000,,48351000000,1.276062848,1.227904854,1.799906003,0.360701843,0.128826412,0.350266261,62544000000,39.8547,3.19870599,15.16519139,8.868005663,12.45963215,2.62803805,4.494212286,Apple
2018,9/30/2018,USD,3.65725E+11,1.31339E+11,25913000000,25913000000,3956000000,48995000000,2.34386E+11,41304000000,49099000000,,,,4.48287E+11,1.70799E+11,40388000000,12087000000,22283000000,2.58578E+11,1.15929E+11,55888000000,14766000000,20748000000,11964000000,1.42649E+11,,1.11984E+11,8784000000,93735000000,2.20132E+11,33327000000,48914000000,1.07147E+11,,70400000000,40201000000,4754986000,9/30/2018,USD,1.01839E+11,2.65595E+11,1.63756E+11,1.63756E+11,70898000000,16705000000,14236000000,30941000000,5686000000,-3240000000,5686000000,3240000000,2.65595E+11,-441000000,9300000000,9300000000,72903000000,13372000000,3240000000,59531000000,56505000000,76143000000,81801000000,59531000000,9/30/2018,USD,77434000000,3022000000,,47665000000,12927000000,10903000000,13313000000,13332000000,-828000000,59531000000,16066000000,-87876000000,-74000000,72738000000,72738000000,,13712000000,13712000000,,669000000,6969000000,,-72069000000,,5624000000,,59531000000,1.132926188,1.098801853,2.413301352,0.555601183,0.162775309,0.341086043,80198000000,37.706,3.93832943,17.57068762,7.088410802,9.574110208,2.145960409,5.319386962,Apple
2019,9/30/2019,USD,3.38516E+11,1.62819E+11,48844000000,1.00557E+11,4106000000,45804000000,1.75697E+11,37378000000,58579000000,,,,3.62952E+11,1.05341E+11,51713000000,12352000000,32978000000,2.48028E+11,1.05718E+11,46236000000,13622000000,16240000000,5980000000,1.4231E+11,,1.1776E+11,10260000000,91807000000,2.09135E+11,37720000000,50503000000,90488000000,,45898000000,45174000000,4443236000,9/30/2019,USD,98392000000,2.56598E+11,1.80027E+11,1.61782E+11,63930000000,18245000000,16217000000,34462000000,4961000000,-3576000000,4961000000,3576000000,2.60174E+11,422000000,11300000000,11300000000,65737000000,10481000000,3576000000,55256000000,58037000000,69313000000,76477000000,55256000000,9/30/2019,USD,69391000000,3423000000,,-7248000000,-3760000000,12547000000,10495000000,-3176000000,289000000,55256000000,45896000000,-90976000000,-11954000000,66897000000,66897000000,,14119000000,14119000000,,781000000,6963000000,,-66116000000,,24311000000,,55256000000,1.540125617,1.501286441,2.741004332,0.610644505,0.163230098,0.31254704,75230000000,71.2518,3.655512775,16.97548261,5.986318951,19.49160197,4.197335749,11.90243964,Apple
2020,9/30/2020,USD,3.23888E+11,1.43713E+11,38016000000,90943000000,4061000000,37445000000,1.80175E+11,36766000000,66760000000,,,,3.45644E+11,1.00887E+11,52927000000,11264000000,42522000000,2.58549E+11,1.05392E+11,42296000000,16843000000,13793000000,4996000000,1.53157E+11,637000000,1.25873E+11,8773000000,98667000000,2.1686E+11,42684000000,54490000000,65339000000,,14966000000,50779000000,16976763000,9/30/2020,USD,1.04956E+11,2.71642E+11,1.89475E+11,1.69559E+11,66288000000,19916000000,18752000000,38668000000,3763000000,-2873000000,3763000000,2873000000,2.74515E+11,-87000000,9700000000,11056000000,67091000000,9680000000,2873000000,57411000000,57453000000,69964000000,77344000000,57411000000,9/30/2020,USD,80674000000,4502000000,,6935000000,1245000000,11056000000,7309000000,-8470000000,127000000,57411000000,-4289000000,-86820000000,-1926000000,72358000000,72358000000,,14081000000,14081000000,,880000000,16091000000,,-71478000000,,-10435000000,,57411000000,1.363604448,1.325072112,3.95703944,0.878663585,0.177255718,0.277299671,77344000000,129.8986,3.798078831,17.97073261,4.322563146,34.2011332,7.228341928,30.05129031,Apple
2021,9/30/2021,USD,3.51002E+11,1.34836E+11,34940000000,62639000000,6580000000,51506000000,2.16166E+11,39440000000,70283000000,,,,3.18994E+11,1.27877E+11,27699000000,14111000000,48849000000,2.87912E+11,1.25481E+11,54763000000,19512000000,15692000000,6000000000,1.62431E+11,769000000,1.187E+11,9613000000,1.09106E+11,2.41783E+11,47493000000,53325000000,63090000000,,5562000000,57365000000,16426786000,9/30/2021,USD,1.52836E+11,3.63172E+11,2.34954E+11,2.12981E+11,1.08949E+11,21973000000,21914000000,43887000000,2843000000,-2645000000,2843000000,2645000000,3.65817E+11,60000000,9500000000,11284000000,1.09207E+11,14527000000,2645000000,94680000000,95249000000,1.11852E+11,1.20233E+11,94680000000,9/30/2021,USD,1.04038E+11,4087000000,,19801000000,24712000000,11284000000,11085000000,14028000000,2642000000,94680000000,-14545000000,-93353000000,2044000000,85971000000,85971000000,,14467000000,14467000000,,1105000000,20393000000,,-84866000000,,-3860000000,,94680000000,1.07455312,1.022114902,4.563512443,1.500713267,0.269742053,0.252192103,1.20233E+11,174.9056,6.263644663,24.02598605,4.173778431,27.92393397,7.279851058,41.90581817,Apple
2022,9/30/2022,USD,3.52755E+11,1.35405E+11,23646000000,48304000000,4946000000,60932000000,2.1735E+11,42117000000,72340000000,,,,2.9287E+11,1.20805E+11,24658000000,21223000000,54428000000,3.02083E+11,1.53982E+11,64115000000,20312000000,21239000000,9982000000,1.48101E+11,812000000,1.10087E+11,11128000000,98959000000,2.33256E+11,60845000000,49142000000,50672000000,,-3068000000,64849000000,15943425000,9/30/2022,USD,1.70782E+11,3.91397E+11,2.4864E+11,2.23546E+11,1.19437E+11,25094000000,26251000000,51345000000,2825000000,-2931000000,106000000,2931000000,3.94328E+11,-228000000,8700000000,11104000000,1.19103E+11,19300000000,2931000000,99803000000,88531000000,1.22034E+11,1.30541E+11,99803000000,9/30/2022,USD,1.22151E+11,4665000000,,15558000000,14358000000,11104000000,10708000000,9343000000,-1484000000,99803000000,-22354000000,-1.10749E+11,7910000000,89402000000,89402000000,,14841000000,14841000000,,,5465000000,,-89402000000,,-10952000000,,99803000000,0.879356029,0.847235391,5.961536943,1.969588728,0.282924409,0.228854724,1.30541E+11,128.7233,6.602561558,25.89323754,3.352253933,19.49596363,4.971309586,38.3990302,Apple
2023,9/30/2023,USD,3.52583E+11,1.43566E+11,29965000000,61555000000,6331000000,60985000000,2.09017E+11,43715000000,70884000000,,,,2.64965E+11,1.00544E+11,31590000000,14695000000,64758000000,2.90437E+11,1.45308E+11,62611000000,20161000000,15972000000,5985000000,1.45129E+11,859000000,1.05103E+11,9822000000,95281000000,1.11088E+11,58829000000,49848000000,62146000000,,-214000000,73812000000,15550061000,9/30/2023,USD,1.69148E+11,3.79352E+11,2.39069E+11,2.14137E+11,1.14301E+11,24932000000,29915000000,54847000000,3750000000,-3933000000,3750000000,3933000000,3.83285E+11,-382000000,8500000000,11519000000,1.13736E+11,16741000000,3933000000,96995000000,96652000000,1.17669E+11,1.2582E+11,96995000000,9/30/2023,USD,1.10543E+11,5703000000,,1142000000,7719000000,11519000000,10959000000,417000000,1618000000,96995000000,3705000000,-1.08488E+11,-7956000000,77550000000,77550000000,,15025000000,15025000000,,,5228000000,,-77550000000,,5760000000,,96995000000,0.988011672,0.94444215,4.673462492,1.560760145,0.275098346,0.203557687,1.2582E+11,191.8029,6.416795671,25.09638921,4.111327221,29.8907601,7.642649243,46.65230708,Apple
2024,9/30/2024,USD,3.6498E+11,1.52987E+11,29943000000,65171000000,7286000000,66243000000,2.11993E+11,45680000000,73448000000,,,,2.54763E+11,91479000000,35228000000,14287000000,74834000000,3.0803E+11,1.76392E+11,68960000000,21049000000,21023000000,9967000000,1.31638E+11,752000000,96662000000,10912000000,85750000000,1.06629E+11,78304000000,45888000000,56950000000,,-19154000000,83276000000,15116786000,9/30/2024,USD,1.80683E+11,3.91035E+11,2.36449E+11,2.10352E+11,1.23216E+11,26097000000,31370000000,57467000000,,,,,3.91035E+11,,8200000000,11445000000,1.23485E+11,29749000000,,93736000000,98016000000,1.23216E+11,1.34661E+11,93736000000,9/30/2024,USD,1.18254E+11,1900000000,,21572000000,17921000000,11445000000,9447000000,5144000000,1046000000,93736000000,2935000000,-1.21983E+11,7920000000,94949000000,94949000000,,15234000000,15234000000,,,0,,-94949000000,,,,93736000000,0.867312577,0.826006848,5.408779631,1.645935031,0.256825032,0.182933858,1.34661E+11,222.72,6.201193453,25.86928909,3.767580942,35.91566715,8.609436434,59.11485471,Apple
2015,12/31/2015,USD,1.47461E+11,90114000000,16549000000,73066000000,491000000,13459000000,57347000000,29016000000,11130000000,19716000000,3847000000,15869000000,65462000000,9383000000,56517000000,3139000000,,27130000000,19310000000,1931000000,939000000,3225000000,2000000000,7820000000,,3225000000,1225000000,1995000000,5225000000,13366000000,1822000000,1.20331E+11,,89223000000,32982000000,687348000,12/31/2015,USD,46825000000,74989000000,28164000000,28164000000,19360000000,15183000000,12282000000,27465000000,,-104000000,35000000,104000000,-422000000,152000000,,5063000000,19651000000,3303000000,104000000,16348000000,14447000000,19755000000,24423000000,16348000000,12/31/2015,USD,26572000000,3982000000,,1843000000,2094000000,5063000000,9915000000,2094000000,1618000000,16121000000,-23711000000,-4225000000,,1780000000,1780000000,,47000000,0,,,,,-1387000000,,-1798000000,-434000000,16348000000,4.666701191,4.641273951,0.225461436,0.13585859,0.110863211,0,24423000000,38.8039,2.797877802,12.83398939,20.59404416,13.86904745,3.023525953,1.884229232,Google
2016,12/31/2016,USD,1.67497E+11,1.05408E+11,12918000000,86333000000,268000000,14232000000,62089000000,34234000000,13293000000,19775000000,3307000000,16468000000,84085000000,10578000000,73415000000,4575000000,1819000000,28461000000,16756000000,2041000000,1301000000,0,0,11705000000,,4000000000,3935000000,3935000000,4000000000,13062000000,2665000000,1.39036E+11,,1.05131E+11,36307000000,691293000,12/31/2016,USD,55134000000,90272000000,35138000000,35138000000,23716000000,17470000000,13948000000,31418000000,,-124000000,1220000000,124000000,-475000000,88000000,,22816,24150000000,4672000000,124000000,19478000000,18950000000,24274000000,29860000000,19478000000,12/31/2016,USD,36036000000,84000000,,1848000000,2578000000,6144000000,10212000000,2578000000,2420000000,19276000000,-31165000000,-8332000000,,3693000000,3693000000,,0,0,,,,,-3395000000,,-3631000000,-170000000,19478000000,6.290761518,6.274767248,0.204702379,0.140093213,0.11628865,0,23716022816,39.5241,3.333561527,15.44959781,23.79531063,11.85641833,2.558260771,1.661003742,Google
